ensembl	uniprot	cluster.cold	cluster.ctrl	description
Zm00001eb212450	B4FZT4	NA	8	endo-polygalacturonase (EC 3.2.1.15)
Zm00001eb213430	A0A1D6GG32	NA	7	Transcription factor TCP2
Zm00001eb213830	A0A1D6GGB0	NA	2	Putative xyloglucan glycosyltransferase 12
Zm00001eb215560	A0A1D6GI93	NA	8	Growth-regulating factor
Zm00001eb216070	B6TQ08	NA	7	Actin-1
Zm00001eb219540	A0A1D6GM24	NA	8	Receptor kinase-like protein Xa21 (EC 2.7.11.1)
Zm00001eb220660	A0A060D1X1	NA	7	C2C2-YABBY transcription factor (Yabby9 protein)
Zm00001eb221620	D9HNU4	NA	3	Auxin response factor
Zm00001eb222460	A0A804PB31	NA	7	Actin-related protein 7
Zm00001eb222480	A0A804PB66	NA	8	Uncharacterized protein
Zm00001eb229700	A0A1D6GYD2	NA	1	Leucine-rich repeat receptor-like protein kinase PXL1
Zm00001eb230300	A0A804PE20	NA	3	Uncharacterized protein
Zm00001eb232190	A0A1D6H0S3	NA	5	dolichol kinase (EC 2.7.1.108)
Zm00001eb233790	A0A1D6H2A1	NA	5	Zinc finger protein CONSTANS-LIKE 5
Zm00001eb235640	B6T5Z6	NA	7	Ethylene-responsive transcription factor WIN1 (Ethylene-responsive element-binding protein 46) (AP2-EREBP transcription factor 46) (ZmEREB46)
Zm00001eb238140	C0HGX9	NA	7	BHLH transcription factor (Transcription factor SPEECHLESS)
Zm00001eb238670	Q9SAZ6	NA	4	phosphoenolpyruvate carboxylase (EC 4.1.1.31)
Zm00001eb245040	A0A1D6HBE4	NA	7	DNA binding protein
Zm00001eb248780	A0A060D1W5	NA	7	C2C2-GATA transcription factor (GATA binding protein 3) (GATA zinc finger family protein)
Zm00001eb250620	A0A1D6HFX6	NA	7	Growth-regulating factor
Zm00001eb251200	B4FD44	NA	7	BHLH domain-containing protein
Zm00001eb251820	A0A060D764	NA	7	Growth-regulating factor 1 (ZmGRF1) (Growth-regulating factor 6)
Zm00001eb252250	A0A1D6HHN9	NA	5	Phosphoribulokinase / Uridine kinase family
Zm00001eb254560	A0A804PP47	NA	5	NAC domain-containing protein
Zm00001eb257680	C4J9Q2	NA	6	Snf1-related kinase interacting protein SKI1
Zm00001eb258290	A0A060D417	NA	1	C2C2-GATA transcription factor (GATA transcription factor 8)
Zm00001eb260550	A0A804PQD3	NA	7	Pentatricopeptide repeat-containing protein
Zm00001eb265610	A0A804PS71	NA	6	AP2/ERF domain-containing protein
Zm00001eb265710	A8Y7V7	NA	7	HB transcription factor (Putative wuschel homeobox protein) (WUSCHEL-related homeobox 3)
Zm00001eb267280	B4F989	NA	8	Actin-1
Zm00001eb269100	A0A1D6LJW6	NA	1	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)
Zm00001eb269150	A0A804PSW3	NA	7	Growth-regulating factor
Zm00001eb271490	Q8S4P6	NA	7	Histone-lysine N-methyltransferase EZ1 (EC 2.1.1.356) (Enhancer of zeste protein 1)
Zm00001eb271900	A0A1D6LM26	NA	7	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase)
Zm00001eb273620	C0P9J3	NA	7	SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein
Zm00001eb275580	A0A804PVH8	NA	5	Uncharacterized protein
Zm00001eb278470	A0A1D6LTW8	NA	6	Putative HLH DNA-binding domain superfamily protein isoform 1
Zm00001eb278670	A0A1D6LUN9	NA	7	Growth-regulating factor
Zm00001eb278830	A0A1D6LUT5	NA	7	Zinc finger protein 8
Zm00001eb282650	Q41808	NA	1	Tubulin gamma-2 chain (Gamma-2-tubulin)
Zm00001eb283380	A0A1D6LZP0	NA	7	LRR receptor-like serine/threonine-protein kinase GSO1
Zm00001eb283400	A0A1D6LZP2	NA	5	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb283810	B4FSI0	NA	6	Abscisic acid receptor PYL9 (CAPIP1)
Zm00001eb285190	A0A1D6M1E8	NA	7	RNA-binding protein BRN1
Zm00001eb287800	A0A1D6M449	NA	6	Putative GID1-like gibberellin receptor
Zm00001eb290530	A0A1D6M6J0	NA	7	Epidermal patterning factor-like protein
Zm00001eb292740	A0A1D6M9U6	NA	7	Rho-related protein6
Zm00001eb295920	A8Y7W3	NA	7	Putative wuschel homeobox protein
Zm00001eb297870	C0P6E9	NA	5	CCT motif family protein (Orphans transcription factor)
Zm00001eb300360	B6TDT4	NA	7	C2C2-YABBY transcription factor (Protein YABBY)
Zm00001eb301520	B4FMK3	NA	6	BHLH transcription factor (Transcription factor bHLH7)
Zm00001eb302190	B6U670	NA	4	PHD transcription factor (SHL1)
Zm00001eb303810	C0P4Y8	NA	5	Sister of indeterminate spikelet1
Zm00001eb303990	A0A096T2V8	NA	1	Protein RETICULATA chloroplastic
Zm00001eb305600	A0A1D6HXI2	NA	5	CO(2)-response secreted protease
Zm00001eb305840	A0A1D6HXQ0	NA	7	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)
Zm00001eb307100	A0A804Q7W5	NA	3	Inositol polyphosphate-related phosphatase domain-containing protein
Zm00001eb309660	A0A1D6I1V3	NA	3	phosphoenolpyruvate carboxylase (EC 4.1.1.31)
Zm00001eb311960	A0A1D6I3X2	NA	7	Milkweed pod1
Zm00001eb312160	A0A1D6I407	NA	4	Typical P-type R2R3 Myb protein
Zm00001eb313390	B8A123	NA	1	adenosylmethionine decarboxylase (EC 4.1.1.50)
Zm00001eb316510	B6ST76	NA	4	Phospholipase A2, group IVB isoform 6
Zm00001eb319620	B4FXD3	NA	5	Protein ODORANT1
Zm00001eb326020	C0PGA9	NA	7	GRAS transcription factor (Protein SHORT-ROOT)
Zm00001eb326030	B4FA71	NA	4	Glycosyltransferase (EC 2.4.2.-)
Zm00001eb327780	B6T7P7	NA	6	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb327820	B6SXH5	NA	8	Putative pentatricopeptide repeat-containing protein
Zm00001eb330990	A0A1D6INR9	NA	5	WUSCHEL-related homeobox 11
Zm00001eb333300	A0A1D6FBJ6	NA	3	Peroxidase (EC 1.11.1.7)
Zm00001eb336020	K7UUB6	NA	2	Receptor kinase-like protein Xa21 (EC 2.7.11.1)
Zm00001eb341010	K7VC94	NA	5	Exocyst complex component
Zm00001eb343080	K7UX39	NA	7	Putative histone chaperone ASF1A
Zm00001eb343760	K7V1E2	NA	7	C3H transcription factor (Splicing factor U2af subunit isoform 1)
Zm00001eb344140	K7V1H2	NA	6	Protein SUPPRESSOR OF PHYA-105 1
Zm00001eb345540	B7ZZT6	NA	6	CCT motif family protein
Zm00001eb345600	K7V1X7	NA	7	BHLH transcription factor (Putative HLH DNA-binding domain superfamily protein)
Zm00001eb346250	A0A1D6FMK3	NA	7	RNA-binding protein BRN1
Zm00001eb348450	B4FPG2	NA	6	Actin-1
Zm00001eb353070	Q9LEC6	NA	7	Putative ROP family GTPase ROP7 (Putative Rop family GTPase, ROP7) (Rac-like GTP-binding protein 2) (Rho-related protein from plants 7)
Zm00001eb354430	A0A1D6FUT2	NA	5	Embryonic flower 1-like protein
Zm00001eb355240	A0A804UH40	NA	6	AP2/ERF domain-containing protein
Zm00001eb357450	B4F8H8	NA	1	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)
Zm00001eb360480	A0A1D6G281	NA	3	glutamate synthase (NADH) (EC 1.4.1.14)
Zm00001eb362230	B4FGB8	NA	7	ROTUNDIFOLIA like 8
Zm00001eb364640	A0A804QVH8	NA	7	Protein CPR-5
Zm00001eb364700	A0A804UHW8	NA	6	CRIB domain-containing protein
Zm00001eb364920	B6SYH2	NA	7	Stomagen C-terminal domain-containing protein
Zm00001eb367200	K7VNC3	NA	3	Putative homeobox DNA-binding domain superfamily protein
Zm00001eb369680	B4FJH0	NA	5	Protein kinase domain-containing protein
Zm00001eb370850	A0A804QZC6	NA	6	Transcription factor VOZ1
Zm00001eb371070	K7VQ40	NA	4	Putative GATA transcription factor family protein
Zm00001eb371150	K7V8V3	NA	6	glutamate carboxypeptidase II (EC 3.4.17.21)
Zm00001eb372070	Q9LEC4	NA	7	Putative Rop family GTPase ROP5
Zm00001eb372370	A0A804QW47	NA	4	Pentatricopeptide repeat-containing protein
Zm00001eb373670	A5HEH0	NA	7	Growth-regulating factor
Zm00001eb373970	D9HNV4	NA	2	Auxin response factor
Zm00001eb374120	B4F8Y3	NA	6	BHLH transcription factor (Pi starvation-induced transcription factor1)
Zm00001eb374270	K7V635	NA	5	mitogen-activated protein kinase kinase (EC 2.7.12.2)
Zm00001eb378340	K7W777	NA	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb378700	C0HFP3	NA	5	RING/U-box superfamily protein
Zm00001eb378820	A0A804QZA2	NA	7	Growth-regulating factor
Zm00001eb380460	A0A804R2E5	NA	1	Uncharacterized protein
Zm00001eb383050	A0A804R4P6	NA	7	BHLH domain-containing protein
Zm00001eb383680	Q43267	NA	8	phosphoenolpyruvate carboxylase (EC 4.1.1.31)
Zm00001eb386270	A0A1D6P316	NA	6	SPX domain-containing protein 1
Zm00001eb387280	B4FTA8	NA	7	AP2-EREBP transcription factor (Floral homeotic protein APETALA 2)
Zm00001eb391070	B6T3N5	NA	6	phosphatidylglycerophosphatase (EC 3.1.3.27)
Zm00001eb391280	B6STZ1	NA	7	C2C2-GATA transcription factor (GATA transcription factor 2) (GATA transcription factor 9)
Zm00001eb395430	C4JAD9	NA	5	Putative homeobox DNA-binding domain superfamily protein
Zm00001eb402080	A0A804RAC6	NA	7	RING-type domain-containing protein
Zm00001eb402940	K7VHI1	NA	8	Putative leucine-rich repeat receptor-like protein kinase family protein
Zm00001eb403750	Q9FR85	NA	8	M5 protein (MADS box protein 1) (MADS transcription factor) (MADS1) (SOC1)
Zm00001eb404060	A0A1D6PL67	NA	4	Putative DUF26 domain receptor-like protein kinase
Zm00001eb404350	A0A1D6PM20	NA	8	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related
Zm00001eb404640	K7VI78	NA	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb405060	A0A1D6IQY9	NA	7	Regulatory protein NPR5
Zm00001eb406780	O24585	NA	7	Putative receptor protein kinase CRINKLY4 (EC 2.7.11.1)
Zm00001eb408670	A0A1D6IUI9	NA	4	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
Zm00001eb412710	K7TGP8	NA	5	Xyloglucan glycosyltransferase 4
Zm00001eb415640	B6SW93	NA	6	KANADI-like transcription factor FEATHERED
Zm00001eb416970	K7U110	NA	8	Uncharacterized protein
Zm00001eb416980	A0A1D6J125	NA	7	Homeodomain leucine zipper family IV protein
Zm00001eb417710	A0A804UM35	NA	6	Receptor kinase-like protein Xa21 (EC 2.7.11.1)
Zm00001eb421340	B4FJG6	NA	7	Protein AUXIN SIGNALING F-BOX 3
Zm00001eb424060	C0PGU4	NA	7	ABC transporter B family member 19
Zm00001eb424930	A0A804UMM9	NA	7	Transglutaminase15
Zm00001eb425830	B6T8W3	NA	5	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50)
Zm00001eb425970	K7U4Z8	NA	7	Sister chromatid cohesion protein PDS5 B-B
Zm00001eb426330	A0A0K1H3E7	NA	6	Dicer-like 103 (Dicer-like protein 4)
Zm00001eb427720	A0A1D6JBB9	NA	6	Metal-nicotianamine transporter YSL2
Zm00001eb428570	C0P5D8	NA	7	Subtilisin-like protease SBT1.3
Zm00001eb430240	Q84QG8	NA	7	Floricaula/leafy-like transcription factor
Zm00001eb430300	A0A804RR79	NA	7	Growth-regulating factor
Zm00001eb431350	A0A1D6JEY8	NA	7	Homeodomain leucine zipper family IV protein
Zm00001eb431780	A0A1D6JFD4	NA	7	Epidermal patterning factor-like protein
Zm00001eb431930	K7TWX7	NA	7	ABC transporter B family member 19
Zm00001eb432070	A0A1D6JFZ8	NA	6	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Zm00001eb432100	A0A804UMV6	NA	4	AP2/ERF domain-containing protein
Zm00001eb432140	B6TH10	NA	3	WUSCHEL-related homeobox 4
Zm00001eb432720	K7TT58	NA	6	Putative HLH DNA-binding domain superfamily protein
Zm00001eb433020	D9HNV6	NA	2	Auxin response factor
Zm00001eb433980	A0A1D6JIA9	NA	8	K(+) efflux antiporter 2 chloroplastic
Zm00001eb434090	Q1G1I8	NA	3	Pentatricopeptide repeat protein
